Country,Cases,Deaths,Recovered,Active Cases,Critical Cases
Kazakhstan,1411831,13848,1383020,14963,24
Kenya,344130,5689,337309,1132,0
Kiribati,5085,24,2703,2358,3
Kuwait,667158,2570,0,664588,0
Kyrgyzstan,206897,2991,196406,7500,131
Lao People's Democratic Republic,218970,758,0,218212,0
Latvia,982505,6715,971406,4384,0
Lebanon,1243838,10952,1087587,145299,74
Lesotho,36138,723,25980,9435,0
Liberia,8090,295,7783,12,2
Libyan Arab Jamahiriya,507274,6437,500835,2,0
Liechtenstein,21574,94,0,21480,0
Lithuania,1397806,9897,1387478,431,0
Luxembourg,391232,1232,0,390000,0
MS Zaandam,9,2,7,0,0
Macao,27673,123,3487,24063,0
Macedonia,350567,9976,337068,3523,0
Madagascar,68486,1426,66862,198,0
Malawi,89535,2686,0,86849,0
Malaysia,5278406,37348,5233268,7790,11
Maldives,186694,316,163687,22691,25
Mali,33164,743,32332,89,0
Malta,121420,885,120149,386,0
Marshall Islands,16138,17,16121,0,0
Martinique,230354,1102,0,229252,0
Mauritania,63848,997,62471,380,0
Mauritius,43025,1051,41278,696,0
Mayotte,42027,188,0,41839,0
Mexico,7702809,334958,6899865,467986,0
Micronesia,26547,65,0,26482,0
Moldova,635145,12218,0,622927,0
Monaco,17181,67,0,17114,0
Mongolia,1011496,2284,1009212,0,0
Montenegro,296542,2846,291794,1902,0
Montserrat,1403,8,1376,19,0
Morocco,1278992,16303,0,1262689,0
Mozambique,233731,2250,228805,2676,11
Myanmar,641873,19495,620159,2219,0
N. Korea,4772813,74,4772739,0,0
Namibia,172389,4106,167099,1184,0
Nauru,5393,1,5347,45,0
Nepal,1003450,12031,991322,97,0
Netherlands,8635786,22992,8612599,195,0
New Caledonia,80064,314,0,79750,0
New Zealand,2621111,5697,2613791,1623,0
Nicaragua,18491,225,4225,14041,0
Niger,9931,312,8890,729,1
Nigeria,267188,3155,259953,4080,11
Niue,1059,0,1056,3,0
Norway,1509732,6638,1503094,0,0
Oman,399449,4628,0,394821,0
Pakistan,1581936,30664,1538689,12583,0
Palau,6290,10,6276,4,0
Palestine,621008,5404,615445,159,0
Panama,1059893,8727,1051102,64,16
Papua New Guinea,46864,670,46168,26,0
Paraguay,837602,20155,0,817447,0
Peru,4572667,222161,4350506,0,4
Philippines,4140383,66864,4067381,6138,0
Poland,6661991,120598,0,6541393,0
Portugal,5643062,28126,5614809,127,61
Qatar,514524,690,513687,147,16
Romania,3529735,68929,3460149,657,21
Russia,24124215,402756,23545818,175641,0
Rwanda,133518,1468,132039,11,0
Réunion,494595,921,0,493674,0
S. Korea,34571873,35934,34535939,0,0
Saint Helena,2166,0,2,2164,0
Saint Kitts and Nevis,6607,48,6559,0,0
Saint Lucia,30215,410,29805,0,0
Saint Martin,12324,63,0,12261,0
Saint Pierre Miquelon,3452,2,2449,1001,0
Saint Vincent and the Grenadines,9674,124,9493,57,0
Samoa,17006,31,1605,15370,0
San Marino,26185,128,26011,46,0
Sao Tome and Principe,6778,80,6685,13,0
Saudi Arabia,841469,9646,0,831823,0
Senegal,89053,1971,87024,58,0
Serbia,2615054,18057,2596608,389,0
Seychelles,51220,172,51048,0,0
Sierra Leone,7779,126,0,7653,0
Singapore,3006155,2024,3004131,0,4
Sint Maarten,11051,92,10905,54,0
Slovakia,1877605,21224,1856381,0,23
Slovenia,1356546,7100,1349424,22,0
Solomon Islands,25954,199,0,25755,0
Somalia,27334,1361,13182,12791,0
South Africa,4076463,102595,3912506,61362,192
South Sudan,18819,147,18115,557,1
Spain,13914811,121760,13762417,30634,231
Sri Lanka,672754,16897,655852,5,0
St. Barth,5507,6,0,5501,0
Sudan,63993,5046,58947,0,0
Suriname,82588,1408,0,81180,0
Swaziland,75191,1427,73116,648,0
Sweden,2754129,27407,2726492,230,0
Switzerland,4453053,14452,4438309,292,0
Syrian Arab Republic,57743,3165,54578,0,0
Taiwan,10241523,19005,10222518,0,0
Tajikistan,17786,125,17264,397,0
Tanzania,43223,846,0,42377,0
Thailand,4770149,34586,4692636,42927,0
Timor-Leste,23460,138,23102,220,0
Togo,39572,290,39281,1,0
Tokelau,80,0,0,80,0
Tonga,16950,13,15638,1299,0
Trinidad and Tobago,191496,4390,187078,28,0
Tunisia,1153361,29423,0,1123938,0
Turkey,17232066,102174,0,17129892,0
Turks and Caicos Islands,6752,40,6709,3,4
Tuvalu,2943,1,0,2942,0
UAE,1067030,2349,0,1064681,0
UK,24910387,232112,24678275,0,0
USA,111820082,1219487,109814428,786167,940
Uganda,172149,3632,100431,68086,0
Ukraine,5557995,112418,5445577,0,0
Uruguay,1041111,7664,1030944,2503,18
Uzbekistan,253662,1637,241486,10539,23
Vanuatu,12019,14,11976,29,0
Venezuela,552695,5856,546537,302,31
Vietnam,11625195,43206,10640971,941018,0
Wallis and Futuna,3550,8,438,3104,0
Western Sahara,10,1,9,0,0
Yemen,11945,2159,9124,662,0
Zambia,349304,4069,341316,3919,0
Zimbabwe,266359,5740,258888,1731,12
